ticker,theme,group,hold_terminal,hold_maxdd,X1_STRUCT_ratio,X1_STRUCT_maxdd,X1_STRUCT_trades,X1_STRUCT_pctin,X2_MA52_ratio,X2_MA52_maxdd,X2_MA52_trades,X2_MA52_pctin,X3_CROSSDN_ratio,X3_CROSSDN_maxdd,X3_CROSSDN_trades,X3_CROSSDN_pctin,X4_TRAIL25_ratio,X4_TRAIL25_maxdd,X4_TRAIL25_trades,X4_TRAIL25_pctin,X5_COMBO_ratio,X5_COMBO_maxdd,X5_COMBO_trades,X5_COMBO_pctin
KTOS,defense,stock,3.477,-72.5,1.165,-64.8,3,54.0,2.328,-48.5,3,65.7,2.171,-60.2,3,70.5,0.955,-28.2,3,44.4,1.627,-64.8,3,70.7
AVAV,defense,stock,2.093,-64.9,0.68,-43.2,5,39.9,0.44,-45.1,6,44.1,0.68,-54.3,5,75.4,0.858,-42.6,5,61.8,0.459,-63.5,4,79.9
ACHR,defense,stock,0.949,-66.6,0.774,-52.7,3,55.7,1.084,-50.6,3,51.9,0.878,-56.5,2,58.9,0.855,-45.3,4,28.5,0.819,-52.7,2,72.2
JOBY,defense,stock,1.319,-60.4,1.074,-57.4,3,73.0,0.334,-66.9,4,19.5,1.352,-52.2,2,77.0,0.766,-35.2,3,17.5,0.818,-57.4,3,75.5
RKLB,defense,stock,11.801,-52.9,0.241,-52.9,3,68.4,0.931,-52.9,2,71.5,0.875,-52.9,2,76.6,0.491,-38.8,3,32.9,0.919,-52.9,2,86.7
LUNR,defense,stock,2.6,-70.2,0.275,-69.2,3,65.8,0.274,-70.8,6,53.0,0.563,-70.2,3,80.3,0.458,-47.5,6,51.3,0.387,-70.2,2,94.0
ASTS,defense,stock,4.949,-83.7,0.41,-75.9,4,52.2,0.344,-39.9,3,20.7,0.801,-50.1,3,47.8,0.453,-47.1,5,27.5,0.478,-75.9,3,60.6
RDW,defense,stock,2.817,-77.8,0.702,-77.8,4,72.8,0.37,-81.8,5,45.6,0.625,-68.6,4,71.6,0.701,-44.9,4,30.2,0.584,-77.8,4,88.2
PL,defense,stock,3.881,-69.8,2.329,-56.1,2,58.2,1.966,-56.1,3,52.4,1.0,-69.8,1,100.0,0.27,-41.1,3,21.7,2.329,-56.1,2,58.2
IRDM,defense,stock,2.556,-75.0,0.766,-46.5,5,51.5,0.583,-24.9,9,34.5,0.799,-42.1,5,53.6,0.861,-44.2,5,54.8,0.929,-46.5,4,61.8
LDOS,defense,stock,1.689,-48.4,0.616,-57.2,6,63.0,0.42,-57.4,7,29.2,0.658,-45.4,7,67.6,0.578,-50.5,5,71.0,0.512,-57.2,5,73.2
BAH,defense,stock,2.022,-64.7,2.163,-26.7,3,76.4,0.975,-36.0,5,46.5,1.408,-33.6,5,74.5,1.287,-38.1,2,67.9,2.154,-26.7,2,76.9
CACI,defense,stock,2.503,-42.5,0.606,-42.5,4,78.9,0.414,-39.5,5,30.5,0.635,-34.3,5,84.5,0.705,-45.3,3,86.8,0.528,-42.5,4,81.1
SAIC,defense,stock,1.683,-44.8,0.616,-46.7,7,66.9,0.413,-41.1,7,17.8,0.67,-44.8,6,73.0,0.451,-46.8,5,73.2,0.541,-46.7,7,69.1
LLY,health,stock,15.296,-34.5,0.089,-17.2,3,17.1,0.1,-32.2,3,31.4,0.63,-28.4,3,84.3,0.694,-35.9,2,94.1,0.613,-31.9,3,91.7
NVO,health,stock,2.39,-74.0,0.775,-19.1,2,25.1,0.742,-19.1,2,28.0,1.556,-28.5,2,75.4,1.898,-28.5,1,77.5,2.148,-22.5,1,75.9
