ticker,R,kind,date,year,base_start,base_len,close,pos,rsi,range_ratio,wk_since_low,delisted,mad_med,cv,mid_share,pre_vol,spring,regime_spy_up,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,next_break,wk_to_break,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52
ALNY,1.5,COMP,2021-07-09,2021,2020-04-17,65,176.74,1.0,65.6,1.44,43,False,0.0588,0.0956,0.569,0.055,False,True,0.0511,0.0443,0.87,1.1,1.07,0.02,UP,1.0,15.3,False,14.4,16.1,15.1,0.0,-16.2,False,-23.9,-32.3,-21.7,-16.2,-13.7,False,-4.2,4.7,4.0,-28.4
ALNY,1.5,ANTI,2022-01-07,2022,2021-05-21,34,148.13,0.12,40.3,1.49,33,False,0.0636,0.0983,0.559,0.0621,False,True,0.0534,0.0631,0.84,1.3,1.02,0.0,DOWN,2.0,10.3,False,14.0,27.2,18.3,-10.8,2.9,False,18.9,32.7,24.9,-14.6,51.9,False,67.3,79.8,80.6,-14.6
ALNY,1.5,ANTI,2022-04-29,2022,2021-10-29,27,133.43,0.02,38.3,1.47,13,False,0.0577,0.1037,0.63,0.0542,False,False,0.016,0.0359,0.28,1.0,1.06,0.0,DOWN,2.0,6.5,False,6.0,3.3,5.6,-5.2,53.3,False,58.1,69.4,63.2,-5.2,49.3,False,46.6,40.5,45.5,-5.2
ALNY,1.5,ANTI,2023-05-19,2023,2022-08-05,42,190.74,0.15,44.3,1.3,10,False,0.0546,0.0747,0.571,0.0695,True,True,0.0246,0.0478,0.45,0.94,0.79,0.0,DOWN,18.0,-2.5,False,-7.1,-12.1,-9.0,-2.7,-14.2,False,-22.6,-36.1,-29.2,-20.4,-21.7,False,-50.0,-95.4,-56.8,-24.9
ALNY,1.5,COMP,2025-05-16,2025,2024-06-28,47,285.31,0.83,59.5,1.26,19,False,0.0566,0.0653,0.511,0.0431,False,True,0.0581,0.0352,1.03,1.49,1.31,0.02,UP,2.0,57.3,False,48.7,37.4,46.5,0.0,57.4,False,43.7,17.4,40.4,0.0,0.6,False,-25.2,-125.9,-36.0,0.0
ALNY,1.5,ANTI,2026-01-16,2026,2025-07-25,26,359.27,0.2,37.7,1.46,25,False,0.0243,0.0815,0.346,0.0589,False,True,0.0057,0.062,0.23,1.04,0.41,0.04,DOWN,3.0,-13.8,False,-16.8,-29.7,-18.4,-13.8,-25.6,False,-33.6,-64.5,-37.7,-25.6,,,,,,
ALNY,2.0,ANTI,2009-11-06,2009,2009-01-02,45,16.15,0.04,29.9,1.59,35,False,0.0697,0.1032,0.733,,False,True,0.095,0.0397,1.36,0.79,,0.0,NONE,,3.2,False,3.1,-0.2,2.1,0.0,-0.9,False,-5.8,-13.2,-7.8,-0.9,-20.1,False,-36.9,-52.4,-47.0,-24.8
ALNY,2.0,ANTI,2011-08-19,2011,2010-10-29,43,6.62,0.0,28.1,1.98,0,False,0.0406,0.1199,0.86,0.0422,False,False,0.0729,0.0469,1.8,0.66,0.96,0.02,DOWN,2.0,8.9,False,0.1,-17.5,-2.0,-3.6,84.3,False,61.8,37.4,56.9,-3.6,165.1,False,136.2,122.1,127.3,-3.6
ALNY,2.0,COMP,2012-07-20,2012,2012-01-13,28,18.74,1.0,77.1,1.92,11,False,0.0728,0.1466,0.286,0.0691,False,True,0.05,0.0812,0.69,0.91,1.05,0.0,UP,1.0,-7.6,False,-13.2,-7.2,-10.1,-7.9,20.9,False,10.8,6.1,15.6,-17.7,136.6,False,109.9,107.0,118.9,-17.7
ALNY,2.0,COMP,2013-01-25,2013,2012-07-06,30,24.77,1.0,75.2,1.98,28,False,0.0573,0.1329,0.833,0.0819,False,True,0.0665,0.0781,1.16,1.07,0.7,0.0,UP,2.0,-2.9,False,-8.7,-8.8,-7.0,-7.3,84.7,False,71.1,73.5,71.6,-7.3,237.5,False,216.0,214.1,206.5,-7.3
ALNY,2.0,ANTI,2014-05-09,2014,2013-07-26,42,54.33,0.19,42.2,1.98,41,False,0.1014,0.1812,0.524,0.0738,False,True,0.0567,0.1336,0.56,1.27,1.37,0.05,UP,24.0,7.0,False,3.7,-1.5,-2.6,-1.1,76.4,False,67.2,60.8,58.8,-1.1,107.6,False,92.8,79.3,81.0,-1.1
