ticker,R,start,asof,base_len,close,base_hi,base_lo,range_ratio,drift,prior_dd,above_ma200,mad_med,cv,mid_share,pre_vol,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,spring,date,rev_yoy,rev_yoy_prev,rev_accel,rev_ttm_yoy,ni_ttm,gm,q_date,fcf_ttm,eps_actual,eps_yoy,surprise_pct,eps_turn_pos,quality,sector,industry,mkt_cap,short_ratio,short_pct_float,shares_short,shares_short_prior,short_chg_mom
FSK,1.5,2025-12-19,2026-09-11,39,11.89,13.68,9.24,1.48,-0.27,-0.51,False,0.0933,0.1138,0.564,0.0354,0.6,True,0.101,54.1,0,26,0.0261,0.0604,0.28,0.64,2.64,0.0,False,2026-09-11,-5.915254237288136,-0.5661157024793388,-5.349138534808797,0.237597911227154,-375000000.0,0.6517241379310345,2026-06-30,1327000000.0,0.43,-0.3064516129032258,4.878,False,False,Financial Services,Asset Management,3285686016.0,,0.0468,,,
FSLR,2.0,2025-07-04,2026-09-11,63,207.17,306.79,162.44,1.89,0.14,-0.41,True,0.1037,0.1357,0.698,0.0715,0.31,False,-0.021,45.2,1,61,0.0235,0.048,0.23,0.78,1.45,0.02,True,2026-09-11,-0.037347904153412825,0.2364190923643803,-0.2737669965177931,0.23820628686452694,1746014000.0,0.572815763785596,2026-06-30,1500118999.0,3.92,0.2327044025157232,43.0657,False,True,Technology,Solar,22464409600.0,,0.1147,,,
FSM,2.0,2025-08-15,2026-09-11,57,12.05,13.66,7.3,1.87,0.35,0.02,True,0.1009,0.1456,0.544,0.077,0.75,True,0.025,61.9,0,56,0.0814,0.1188,0.81,0.79,1.31,0.0,False,2026-09-11,0.38188691036763456,0.18034431060331912,0.20154259976431543,0.07888639868960112,379209199.0,0.5761825051112863,2026-06-30,416450029.0,0.24,0.4999999999999999,-17.2414,False,True,Basic Materials,Gold,3548528896.0,,0.0367,,,
FSS,1.5,2025-05-09,2026-09-11,71,113.46,130.93,88.87,1.47,0.3,-0.1,True,0.0508,0.0783,0.676,0.0501,0.58,True,0.088,46.3,1,70,0.0276,0.0351,0.54,0.92,1.01,0.01,False,2026-09-11,0.18703506907545164,0.3488572660629581,-0.16182219698750644,0.23969411526385098,285400000.0,0.3040883318412414,2026-06-30,339200000.0,1.42,0.2136752136752137,10.9375,False,True,Industrials,Farm & Heavy Construction Machinery,6957522944.0,,0.0917,,,
FUL,1.5,2024-12-13,2026-09-11,92,51.65,71.39,48.87,1.46,0.07,-0.41,False,0.0446,0.0699,0.793,0.0297,0.12,False,-0.034,40.0,2,25,0.043,0.0351,0.96,1.27,1.5,0.04,False,2026-09-11,0.05809630384313458,-0.022593934291325946,0.08069023813446052,-0.00567550338452516,185742000.0,0.33910010933723117,2026-05-31,140772000.0,1.41,0.19491525423728814,2.9197,False,True,Basic Materials,Specialty Chemicals,2775430400.0,,0.0774,,,
FUN,2.0,2025-08-08,2026-09-11,58,13.67,26.05,13.45,1.94,-0.32,-0.77,False,0.1401,0.1802,0.5,0.0476,0.02,False,-0.08,34.0,0,42,0.0372,0.0641,0.27,0.7,2.94,0.0,False,2026-09-11,-0.43316243725749415,0.11665025215656977,-0.5498126894140639,-0.14118464387012952,-1750952000.0,1.0,2026-06-30,150144000.0,0.14,1.2,-51.7241,True,False,Consumer Cyclical,Leisure,1342390016.0,,0.231,,,
FWDI,2.0,2026-01-30,2026-09-11,33,6.46,6.49,3.69,1.76,0.04,-0.9,False,0.0597,0.1462,0.515,0.2395,0.99,True,0.06,58.5,1,14,0.1637,0.0855,2.74,1.3,0.25,0.0,False,2026-09-11,3.320925504525669,3.1503016555270316,0.17062384899863758,2.023653810644747,-1101657037.0,0.621905633648249,2026-06-30,-18384663.0,-2.17,0.0,-5525.0,False,False,Consumer Cyclical,Footwear & Accessories,483697088.0,,0.096,,,
FWRG,1.5,2026-02-27,2026-09-11,29,11.19,13.28,10.18,1.3,0.17,-0.6,False,0.0436,0.067,0.552,0.0673,0.33,True,0.056,41.3,1,14,0.0293,0.0273,0.67,0.87,0.65,0.03,False,2026-09-11,0.15195510041021554,0.1726155045351474,-0.020660404124931864,0.19273556211748666,17809000.0,0.7671285018270402,2026-06-30,-20976000.0,0.04,-0.20000000000000004,-33.3333,False,False,Consumer Cyclical,Restaurants,700436160.0,,0.1235,,,
GAP,2.0,2023-11-17,2026-09-11,148,20.91,28.66,16.47,1.74,0.28,-0.17,True,0.0788,0.1201,0.682,0.074,0.36,False,-0.127,46.9,3,147,0.0287,0.0275,0.36,0.7,1.06,0.0,True,2026-09-11,-0.01986577181208049,0.009818076812012633,-0.029683848624093123,0.010549914281946515,1247000000.0,0.5283483976992605,2026-07-31,1110000000.0,0.52,-0.08771929824561392,4.0,False,True,Consumer Cyclical,Apparel Retail,7555821056.0,,0.1556,,,
GBCI,1.5,2024-11-29,2026-09-11,94,45.93,55.09,36.85,1.49,0.2,-0.34,True,0.0571,0.0865,0.734,0.0516,0.5,True,0.053,43.8,2,74,0.0256,0.0439,0.45,1.2,1.11,0.02,False,2026-09-11,0.08970801482303647,0.263190952791271,-0.17348293796823455,0.19060306526392656,311685000.0,0.7568807841848749,2026-06-30,396448000.0,0.76,0.28813559322033905,0.0,False,True,Financial Services,Banks - Regional,5967160320.0,,0.0764,,,
GBX,1.5,2025-02-14,2026-09-11,83,42.66,58.04,39.08,1.49,0.12,-0.42,False,0.0648,0.0869,0.663,0.0478,0.19,False,-0.035,36.9,1,74,0.0431,0.0433,0.67,1.02,1.36,0.01,False,2026-09-11,-0.31401713469776293,-0.22940713536201474,-0.0846099993357482,-0.25592927375251484,102100000.0,0.1406764960971379,2026-05-31,-118600000.0,0.6,-0.6774193548387097,5.2632,False,False,Industrials,Railroads,1333191040.0,,0.1334,,,
GBX,2.0,2023-11-03,2026-09-11,150,42.66,67.5,33.89,1.99,0.09,-0.28,False,0.0654,0.133,0.8,0.0797,0.26,False,-0.035,36.9,3,148,0.0431,0.0433,0.66,1.13,0.82,0.01,False,2026-09-11,-0.31401713469776293,-0.22940713536201474,-0.0846099993357482,-0.25592927375251484,102100000.0,0.1406764960971379,2026-05-31,-118600000.0,0.6,-0.6774193548387097,5.2632,False,False,Industrials,Railroads,1333191040.0,,0.1334,,,
GCMG,1.5,2024-07-12,2026-09-11,114,12.78,13.74,9.26,1.48,0.2,0.02,True,0.0603,0.0908,0.719,0.0289,0.79,True,0.255,55.7,2,24,0.0231,0.0519,0.38,1.1,2.09,0.04,False,2026-09-11,0.12949340853492797,-0.0043491241235184,0.13384253265844637,0.07620571847786728,44502000.0,0.9922315056440029,2026-06-30,192034000.0,0.15,0.07142857142857129,0.0,False,True,Financial Services,Asset Management,784861312.0,,0.0353,,,
GDDY,1.5,2026-01-09,2026-09-11,36,96.37,113.54,76.24,1.49,-0.11,-0.64,False,0.0576,0.0905,0.667,0.0427,0.54,True,0.08,52.0,1,13,0.0237,0.0455,0.41,1.0,1.35,0.0,True,2026-09-11,0.06603153745072277,0.0607887465460939,0.005242790904628869,0.07407251530902137,910300000.0,0.6380585516178736,2026-06-30,1702900000.0,1.83,0.297872340425532,6.3953,False,True,Technology,Software - Infrastructure,12420340736.0,,0.0643,,,
GDOT,1.5,2025-08-15,2026-09-11,57,13.27,14.5,10.53,1.38,0.02,-0.33,True,0.0455,0.0684,0.807,0.0716,0.69,True,0.09,57.2,1,26,0.0064,0.0045,0.14,0.64,0.64,0.09,False,2026-09-11,0.18189481450921896,0.1742306852707407,0.007664129238478257,0.1772751251804503,-25948000.0,0.19868329856700057,2026-06-30,116339000.0,0.21,-0.47500000000000003,-34.375,False,False,Financial Services,Credit Services,755623488.0,,0.0279,,,
