ticker,theme,defn,date,price,fwd26w,fwd52w,fwd104w,excB26w,excB52w,excB104w,excS26w,excS52w,excS104w,mae52w
TSM,ai,BRKOUT,2022-01-10,130.73,-38.5,-37.0,-25.0,-8.5,-11.4,-39.7,-22.0,-24.1,-30.9,-55.2
TSM,ai,BRKOUT,2024-01-15,110.54,46.2,87.8,208.2,13.6,49.2,92.6,31.7,62.4,161.3,0.0
TSM,ai,MACROSS,2018-09-03,38.19,-14.9,0.6,87.3,-12.1,-14.6,19.7,-11.3,-5.1,63.4,-22.1
TSM,ai,MACROSS,2019-04-08,36.23,20.7,20.0,211.2,13.2,9.6,81.4,17.6,22.2,164.2,-11.1
TSM,ai,MACROSS,2021-11-15,115.01,-26.3,-32.5,-16.6,0.2,-3.2,-22.5,-9.9,-18.2,-15.7,-49.1
TSM,ai,MACROSS,2022-01-03,114.78,-33.3,-35.4,-16.0,-3.6,-7.5,-29.8,-17.3,-20.0,-19.6,-49.0
TSM,ai,MACROSS,2023-02-20,83.66,6.7,49.9,132.6,-18.5,-26.3,20.5,-5.2,19.8,77.0,-4.8
TSM,ai,MACROSS,2025-06-30,232.23,36.9,87.0,,4.9,-22.5,,27.0,66.5,,-1.9
ASML,ai,BRKOUT,2019-07-15,210.21,34.8,73.2,212.4,7.5,33.5,95.8,22.0,62.7,162.2,-5.9
ASML,ai,BRKOUT,2025-09-15,927.25,41.8,,,19.5,,,43.5,,,0.0
ASML,ai,MACROSS,2019-04-15,191.32,25.0,45.9,221.5,21.3,32.0,102.4,21.3,45.0,172.3,-7.6
ASML,ai,MACROSS,2023-01-09,639.63,14.9,9.2,14.0,-24.1,-44.9,-107.2,1.3,-12.2,-35.7,-11.4
ASML,ai,MACROSS,2023-12-25,741.19,35.6,-5.0,44.2,-13.4,-47.6,-66.6,20.4,-31.8,-4.6,-12.3
ASML,ai,MACROSS,2025-07-14,728.87,85.7,139.8,,47.4,47.5,,74.9,120.0,,-5.9
AMAT,ai,BOTTOM,2019-05-27,36.18,50.8,47.4,266.1,15.5,1.7,106.8,35.6,34.6,207.8,-0.7
AMAT,ai,MACROSS,2019-04-29,40.9,27.4,8.4,210.6,16.6,-1.7,99.2,22.3,10.3,163.4,-12.2
AMAT,ai,MACROSS,2020-06-29,57.91,42.4,128.8,43.9,-1.0,58.2,14.6,21.6,87.8,18.3,-9.5
AMAT,ai,MACROSS,2023-01-30,116.5,22.0,41.5,52.9,-1.9,-13.1,-44.9,12.8,19.8,2.8,-7.0
AMAT,ai,MACROSS,2025-07-28,178.68,79.9,,,37.4,,,68.0,,,-10.4
LRCX,ai,BRKOUT,2019-04-22,18.9,32.3,32.0,214.5,22.6,16.3,94.6,28.5,33.5,167.2,-15.4
LRCX,ai,MACROSS,2019-03-25,16.39,29.3,37.6,237.6,18.5,27.9,105.3,23.7,46.1,192.3,-2.5
