ticker,regime,kind,dt,fwd1d,fwd3d,fwd5d
CGNX,BEAR,CTRL,2024-04-29T13:30:00,0.845,4.681,6.929
CGNX,BEAR,CTRL,2024-04-30T12:30:00,-1.828,5.627,10.094
CGNX,BEAR,H_UP,2024-04-30T13:30:00,-0.646,5.997,10.031
CGNX,BEAR,CTRL,2024-05-01T11:30:00,5.695,7.106,11.657
CGNX,BEAR,CTRL,2024-05-02T10:30:00,1.7,5.285,5.794
CGNX,BEAR,CTRL,2024-05-03T09:30:00,0.729,4.444,6.222
CGNX,BEAR,CTRL,2024-05-03T15:30:00,1.621,5.752,5.958
CGNX,BEAR,H_DOWN,2024-05-06T14:30:00,4.014,4.53,6.359
CGNX,BEAR,CTRL,2024-05-07T13:30:00,0.326,1.023,2.034
CGNX,BEAR,CTRL,2024-05-08T12:30:00,0.523,2.922,3.467
CGNX,BEAR,H_UP,2024-05-08T14:30:00,0.584,2.343,2.539
CGNX,BEAR,CTRL,2024-05-09T11:30:00,0.802,2.167,2.286
CGNX,BEAR,CTRL,2024-05-10T10:30:00,0.804,1.276,2.048
CGNX,BEAR,CTRL,2024-05-13T09:30:00,0.849,0.011,2.41
CGNX,BEAR,CTRL,2024-05-13T15:30:00,0.47,1.387,3.586
CGNX,BEAR,CTRL,2024-05-14T14:30:00,0.617,1.959,2.363
CGNX,BEAR,CTRL,2024-05-15T13:30:00,0.201,2.182,1.653
CGNX,BEAR,CTRL,2024-05-16T12:30:00,1.262,1.898,1.495
CGNX,BEAR,CTRL,2024-05-17T11:30:00,0.828,1.467,0.566
CGNX,BEAR,CTRL,2024-05-20T10:30:00,0.197,-1.004,-1.481
CGNX,BEAR,H_UP,2024-05-20T14:30:00,-0.425,-1.439,-1.771
CGNX,BEAR,CTRL,2024-05-21T09:30:00,0.01,-1.311,-4.758
CGNX,BEAR,CTRL,2024-05-21T15:30:00,0.27,-1.08,-4.941
CGNX,BEAR,CTRL,2024-05-22T14:30:00,-1.184,-1.516,-4.786
CGNX,BEAR,CTRL,2024-05-23T13:30:00,0.546,-3.172,-5.483
CGNX,BEAR,CTRL,2024-05-24T12:30:00,-0.731,-3.58,-6.262
CGNX,BEAR,H_DOWN,2024-05-24T14:30:00,-0.618,-3.918,-5.815
CGNX,BEAR,CTRL,2024-05-28T11:30:00,-2.843,-6.39,-9.789
CGNX,RANGE,CTRL,2024-05-29T10:30:00,-0.26,-2.687,-7.044
CGNX,RANGE,CTRL,2024-05-30T09:30:00,-2.297,-5.781,-5.193
CGNX,RANGE,CTRL,2024-05-30T15:30:00,0.176,-6.932,-3.433
CGNX,RANGE,CTRL,2024-05-31T14:30:00,-0.299,-3.693,-3.784
CGNX,RANGE,CTRL,2024-06-03T13:30:00,-4.597,-2.89,-2.544
CGNX,RANGE,CTRL,2024-06-04T12:30:00,1.346,2.2,1.322
CGNX,RANGE,CTRL,2024-06-05T11:30:00,1.592,1.849,4.288
CGNX,RANGE,CTRL,2024-06-06T10:30:00,-0.284,-0.501,4.554
CGNX,RANGE,CTRL,2024-06-07T09:30:00,-2.393,2.892,2.178
CGNX,RANGE,H_DOWN,2024-06-07T15:30:00,1.015,2.121,5.142
CGNX,RANGE,CTRL,2024-06-10T14:30:00,-0.81,5.019,7.187
CGNX,RANGE,CTRL,2024-06-11T13:30:00,2.717,4.076,7.345
CGNX,RANGE,CTRL,2024-06-12T12:30:00,3.073,4.146,5.107
CGNX,RANGE,H_UP,2024-06-12T14:30:00,4.329,6.482,7.026
CGNX,RANGE,CTRL,2024-06-13T11:30:00,-1.571,2.105,3.774
CGNX,RANGE,CTRL,2024-06-14T10:30:00,2.047,5.112,6.29
CGNX,RANGE,CTRL,2024-06-17T09:30:00,2.018,3.839,1.272
CGNX,RANGE,CTRL,2024-06-17T15:30:00,-0.107,2.371,-0.385
CGNX,RANGE,CTRL,2024-06-18T14:30:00,0.768,1.227,-1.408
CGNX,RANGE,CTRL,2024-06-20T13:30:00,1.271,-0.89,-1.759
CGNX,RANGE,H_UP,2024-06-20T15:30:00,1.461,-1.27,-1.503
CGNX,RANGE,CTRL,2024-06-21T12:30:00,-0.556,-3.588,-1.448
CGNX,RANGE,CTRL,2024-06-24T11:30:00,-1.849,-2.921,-1.87
CGNX,RANGE,CTRL,2024-06-25T10:30:00,0.043,1.157,0.648
CGNX,RANGE,H_DOWN,2024-06-25T14:30:00,-1.155,-0.727,0.535
CGNX,RANGE,CTRL,2024-06-26T09:30:00,0.054,0.474,2.379
CGNX,RANGE,CTRL,2024-06-26T15:30:00,0.108,-0.108,1.743
CGNX,RANGE,CTRL,2024-06-27T14:30:00,-0.043,1.228,2.176
CGNX,RANGE,CTRL,2024-06-28T13:30:00,-0.353,1.402,2.611
CGNX,RANGE,CTRL,2024-07-01T12:30:00,0.548,1.621,5.229
CGNX,RANGE,H_UP,2024-07-01T13:30:00,0.655,1.858,5.616
CGNX,RANGE,CTRL,2024-07-02T11:30:00,1.48,1.48,5.857
CGNX,RANGE,CTRL,2024-07-03T10:30:00,0.339,2.86,7.712
CGNX,RANGE,CTRL,2024-07-05T13:30:00,0.476,4.959,8.28
CGNX,RANGE,CTRL,2024-07-08T12:30:00,1.878,7.136,8.542
CGNX,RANGE,H_UP,2024-07-09T09:30:00,1.554,7.689,8.477
CGNX,RANGE,CTRL,2024-07-09T11:30:00,2.714,5.241,7.594
CGNX,RANGE,CTRL,2024-07-10T10:30:00,3.477,5.317,6.405
CGNX,RANGE,CTRL,2024-07-11T09:30:00,2.143,2.89,1.258
CGNX,RANGE,CTRL,2024-07-11T15:30:00,0.632,4.462,-0.671
CGNX,RANGE,CTRL,2024-07-12T14:30:00,1.186,2.208,-2.394
CGNX,RANGE,CTRL,2024-07-15T13:30:00,1.1,-3.474,-3.223
CGNX,RANGE,CTRL,2024-07-16T12:30:00,-0.191,-4.748,-2.904
CGNX,RANGE,CTRL,2024-07-17T11:30:00,-3.872,-4.389,-2.521
CGNX,RANGE,CTRL,2024-07-18T10:30:00,-2.152,0.74,-1.54
CGNX,RANGE,CTRL,2024-07-19T09:30:00,-0.26,2.294,0.18
CGNX,RANGE,CTRL,2024-07-19T15:30:00,1.427,1.045,-0.161
CGNX,RANGE,H_DOWN,2024-07-22T14:30:00,1.423,-1.92,-1.134
CGNX,RANGE,CTRL,2024-07-23T13:30:00,-1.138,-3.012,-4.033
CGNX,RANGE,CTRL,2024-07-24T12:30:00,-1.27,-2.261,-1.27
CGNX,RANGE,H_DOWN,2024-07-24T15:30:00,-3.202,-1.611,-1.303
CGNX,RANGE,CTRL,2024-07-25T11:30:00,-0.84,-2.22,-20.976
CGNX,RANGE,CTRL,2024-07-26T10:30:00,0.04,0.343,-23.527
CGNX,RANGE,CTRL,2024-07-29T09:30:00,-1.542,-16.046,-26.583
CGNX,RANGE,CTRL,2024-07-29T15:30:00,-1.233,-21.003,-25.51
CGNX,RANGE,CTRL,2024-07-30T14:30:00,1.729,-21.591,-21.96
CGNX,RANGE,CTRL,2024-07-31T13:30:00,-22.894,-24.748,-24.778
CGNX,RANGE,H_DOWN,2024-08-01T12:30:00,-1.056,-1.044,-0.618
CGNX,RANGE,CTRL,2024-08-02T11:30:00,-1.362,-0.367,0.733
CGNX,RANGE,CTRL,2024-08-05T10:30:00,2.824,4.434,5.169
CGNX,RANGE,CTRL,2024-08-06T09:30:00,0.397,1.787,2.369
CGNX,RANGE,CTRL,2024-08-06T15:30:00,-1.865,1.786,2.836
CGNX,RANGE,CTRL,2024-08-07T14:30:00,3.762,3.387,3.12
CGNX,RANGE,CTRL,2024-08-08T13:30:00,-0.725,1.152,1.576
CGNX,RANGE,CTRL,2024-08-09T12:30:00,-0.891,-0.711,1.671
CGNX,RANGE,CTRL,2024-08-12T11:30:00,1.16,3.045,1.316
CGNX,RANGE,H_UP,2024-08-12T14:30:00,1.269,1.98,1.968
CGNX,RANGE,CTRL,2024-08-13T10:30:00,-0.295,1.245,0.963
CGNX,RANGE,CTRL,2024-08-14T09:30:00,0.384,0.397,1.344
CGNX,RANGE,CTRL,2024-08-14T15:30:00,2.076,2.75,3.814
CGNX,RANGE,CTRL,2024-08-15T14:30:00,0.141,0.014,-1.217
CGNX,RANGE,CTRL,2024-08-16T13:30:00,-0.431,1.19,0.0
CGNX,RANGE,CTRL,2024-08-19T12:30:00,0.483,-0.229,1.983
CGNX,RANGE,CTRL,2024-08-20T11:30:00,0.632,-0.253,-0.797
CGNX,RANGE,CTRL,2024-08-21T10:30:00,-0.479,0.958,-2.294
CGNX,RANGE,H_DOWN,2024-08-21T13:30:00,-2.378,0.025,-3.304
CGNX,RANGE,CTRL,2024-08-22T09:30:00,0.48,-1.579,0.922
CGNX,RANGE,CTRL,2024-08-22T15:30:00,2.425,1.264,3.173
CGNX,RANGE,CTRL,2024-08-23T14:30:00,0.164,-1.793,1.995
CGNX,RANGE,CTRL,2024-08-26T13:30:00,-1.301,0.375,-4.104
CGNX,RANGE,CTRL,2024-08-27T12:30:00,-1.398,1.931,-1.741
CGNX,RANGE,H_UP,2024-08-27T14:30:00,-1.42,2.383,-2.764
CGNX,RANGE,CTRL,2024-08-28T11:30:00,3.532,0.335,-0.052
CGNX,RANGE,CTRL,2024-08-29T10:30:00,1.135,-3.094,-4.899
CGNX,RANGE,CTRL,2024-08-30T09:30:00,-2.909,-4.364,-4.882
CGNX,RANGE,CTRL,2024-08-30T15:30:00,-5.272,-3.738,-5.371
CGNX,RANGE,CTRL,2024-09-03T14:30:00,0.157,0.091,-1.058
CGNX,RANGE,CTRL,2024-09-04T13:30:00,0.726,-0.819,-0.881
CGNX,RANGE,H_DOWN,2024-09-04T15:30:00,0.621,-1.087,-0.75
CGNX,RANGE,CTRL,2024-09-05T12:30:00,-2.087,-2.397,-0.786
CGNX,RANGE,CTRL,2024-09-06T11:30:00,1.121,0.475,1.543
CGNX,RANGE,H_UP,2024-09-06T14:30:00,-0.052,0.091,0.483
CGNX,RANGE,CTRL,2024-09-09T10:30:00,0.0,0.288,0.588
CGNX,RANGE,H_DOWN,2024-09-09T14:30:00,-1.096,0.183,0.744
CGNX,RANGE,CTRL,2024-09-10T09:30:00,-0.489,1.756,4.107
CGNX,RANGE,CTRL,2024-09-10T15:30:00,1.347,2.14,2.933
CGNX,RANGE,CTRL,2024-09-11T14:30:00,0.039,0.6,1.056
CGNX,RANGE,CTRL,2024-09-12T13:30:00,0.207,0.984,3.446
CGNX,RANGE,CTRL,2024-09-13T12:30:00,-0.323,-0.181,2.25
CGNX,RANGE,H_UP,2024-09-13T15:30:00,-0.026,-0.44,2.794
CGNX,RANGE,CTRL,2024-09-16T11:30:00,1.517,3.099,2.554
CGNX,RANGE,CTRL,2024-09-17T10:30:00,-1.56,-0.101,0.076
CGNX,RANGE,H_UP,2024-09-18T09:30:00,1.945,1.867,0.631
CGNX,RANGE,CTRL,2024-09-18T15:30:00,3.481,2.364,0.624
CGNX,RANGE,CTRL,2024-09-19T14:30:00,0.126,-0.516,0.655
CGNX,RANGE,CTRL,2024-09-20T13:30:00,0.546,-2.033,2.033
CGNX,RANGE,CTRL,2024-09-23T12:30:00,0.139,0.506,2.202
CGNX,RANGE,CTRL,2024-09-24T11:30:00,-1.665,3.05,1.387
