date,signal,ticker,name,tag,close,dd_pct,max_dd_26w_pct,to_high_pct,prior_52w_high,mkt_cap_B,sector,industry,pe,fwd_pe,rev_growth_pct,profit_margin_pct,fcf_B
2026-08-15,BOTTOM,BFLY,"Butterfly Network, Inc.",QUALITY,8.84,-0.7,-33.9,0.7,8.9,2.4,Healthcare,Medical Devices,,-147.33334,39.5,-66.7,0.0
2026-08-15,BREAKOUT,BLK,"BlackRock, Inc.",QUALITY,1173.73,0.0,-20.1,-2.0,1150.25,190.7,Financial Services,Asset Management,28.330437,18.29668,30.6,24.1,7.58
2026-08-15,BREAKOUT,CACI,"CACI International, Inc.",QUALITY,670.54,0.0,-31.5,-1.2,662.19,14.8,Technology,Information Technology Services,27.719717,17.868963,17.6,5.6,0.61
2026-08-15,BREAKOUT,CHYM,"Chime Financial, Inc.",QUALITY,32.02,0.0,-51.7,-8.2,29.38,12.1,Technology,Software - Application,5.9962544,19.888199,26.8,-0.7,0.44
2026-08-15,BREAKOUT,CRBG,Corebridge Financial Inc.,QUALITY,34.47,0.0,-36.2,-1.9,33.8,15.4,Financial Services,Asset Management,21.955414,5.996431,25.9,4.6,0.64
2026-08-15,BOTTOM,CRSP,CRISPR Therapeutics AG,SPEC,53.55,-26.7,-37.4,36.5,73.07,5.2,Healthcare,Biotechnology,,-15.268068,1041.4,0.0,-0.22
2026-08-15,BREAKOUT,FBK,FB Financial Corporation,QUALITY,61.8,0.0,-17.1,-1.4,60.94,3.1,Financial Services,Banks - Regional,16.349207,12.0321245,130.2,30.2,
2026-08-15,BREAKOUT,FHN,First Horizon Corporation,QUALITY,26.22,0.0,-16.5,-1.4,25.85,12.4,Financial Services,Banks - Regional,12.605769,11.371768,9.0,30.2,
2026-08-15,BREAKOUT,FSUN,FirstSun Capital Bancorp,QUALITY,41.11,0.0,-14.7,-1.6,40.44,2.0,Financial Services,Banks - Regional,24.616768,8.742159,42.2,10.5,
2026-08-15,BREAKOUT,GLP,Global Partners LP,QUALITY,50.83,0.0,-15.9,-2.2,49.72,1.7,Energy,Oil & Gas Midstream,10.394684,20.250998,46.8,0.8,0.14
