ticker,kind,regime,char,dt,fwd1d,fwd3d,fwd5d
MU,BOTTOM,BULL,NORMAL,2026-02-17T14:30:00,4.578,6.578,5.164
MU,CTRL,BULL,NORMAL,2026-02-17T15:30:00,5.256,7.034,4.503
MU,CTRL,BULL,NORMAL,2026-02-18T14:30:00,-0.908,0.357,2.713
MU,CTRL,BULL,NORMAL,2026-02-19T13:30:00,2.985,1.004,0.597
MU,CTRL,BULL,PARABOLIC,2026-05-27T12:30:00,3.154,14.836,17.528
MU,CTRL,BULL,PARABOLIC,2026-05-28T11:30:00,2.656,10.165,8.164
MU,CTRL,BULL,PARABOLIC,2026-05-29T10:30:00,6.135,9.78,-4.259
MU,CTRL,BULL,PARABOLIC,2026-06-01T09:30:00,0.708,-1.822,-8.365
MU,BOTTOM,BULL,PARABOLIC,2026-06-01T12:30:00,0.337,-1.984,-8.421
MU,CTRL,BULL,PARABOLIC,2026-06-01T15:30:00,2.827,-3.639,-8.25
MU,CTRL,BULL,PARABOLIC,2026-06-02T14:30:00,1.435,-16.537,-14.552
MU,CTRL,BULL,PARABOLIC,2026-06-03T13:30:00,-3.895,-11.149,-16.07
MU,CTRL,BULL,PARABOLIC,2026-06-04T12:30:00,-11.38,-11.955,-8.569
MU,CTRL,BULL,PARABOLIC,2026-06-05T11:30:00,4.416,-1.246,8.544
MU,CTRL,BULL,PARABOLIC,2026-06-08T10:30:00,-4.616,-4.411,13.065
MU,TOP,BULL,PARABOLIC,2026-06-08T15:30:00,-1.429,4.865,14.552
MU,CTRL,BULL,PARABOLIC,2026-06-09T09:30:00,-0.735,3.721,12.268
MU,CTRL,BULL,PARABOLIC,2026-06-09T15:30:00,-4.736,4.789,9.035
MU,CTRL,BULL,PARABOLIC,2026-06-10T14:30:00,9.431,21.324,20.772
MU,CTRL,BULL,PARABOLIC,2026-06-11T13:30:00,4.528,9.797,20.425
MU,CTRL,BULL,PARABOLIC,2026-06-12T12:30:00,7.804,6.59,19.373
MU,CTRL,BULL,PARABOLIC,2026-06-15T11:30:00,-2.179,4.308,0.726
MU,CTRL,BULL,PARABOLIC,2026-06-16T10:30:00,0.049,12.864,-0.621
MU,CTRL,BULL,PARABOLIC,2026-06-17T09:30:00,7.396,6.317,10.577
MU,BOTTOM,BULL,PARABOLIC,2026-06-17T14:30:00,5.635,-2.826,11.459
MU,CTRL,BULL,PARABOLIC,2026-06-17T15:30:00,8.674,0.943,16.51
MU,CTRL,BULL,PARABOLIC,2026-06-18T14:30:00,4.129,-11.32,0.393
MU,CTRL,BULL,PARABOLIC,2026-06-22T13:30:00,-11.418,2.482,-6.099
MU,CTRL,BULL,PARABOLIC,2026-06-23T12:30:00,-5.368,9.353,7.437
MU,CTRL,BULL,PARABOLIC,2026-06-24T11:30:00,16.546,6.483,0.687
MU,CTRL,BULL,PARABOLIC,2026-06-25T10:30:00,-0.638,-2.821,-14.981
MU,CTRL,BULL,PARABOLIC,2026-06-26T09:30:00,-10.935,-9.308,-15.205
MU,CTRL,BULL,PARABOLIC,2026-06-26T15:30:00,1.77,-8.252,-12.536
MU,CTRL,BULL,PARABOLIC,2026-06-29T14:30:00,2.131,-15.791,-19.404
MU,CTRL,BULL,PARABOLIC,2026-06-30T13:30:00,-9.223,-13.841,-18.426
MU,CTRL,BULL,NORMAL,2026-07-01T12:30:00,-7.631,-11.297,-2.665
MU,CTRL,BULL,NORMAL,2026-07-02T11:30:00,2.413,-4.244,0.427
MU,CTRL,BULL,NORMAL,2026-07-06T10:30:00,-9.614,1.089,-6.742
MU,TOP,BULL,NORMAL,2026-07-06T15:30:00,-4.612,0.673,-4.806
MU,CTRL,BULL,NORMAL,2026-07-07T09:30:00,4.578,8.027,6.549
MU,CTRL,BULL,NORMAL,2026-07-07T15:30:00,1.114,4.237,4.669
MU,CTRL,BULL,NORMAL,2026-07-08T14:30:00,5.93,-1.901,-4.792
MU,CTRL,BULL,NORMAL,2026-07-09T13:30:00,-2.829,-3.497,-15.793
MU,CTRL,BULL,NORMAL,2026-07-10T12:30:00,-6.611,-9.083,-9.894
MU,CTRL,BULL,NORMAL,2026-07-13T11:30:00,5.884,-8.81,
MU,BOTTOM,BULL,NORMAL,2026-07-13T14:30:00,5.14,-8.916,
STX,CTRL,BEAR,NORMAL,2024-01-19T12:30:00,3.055,5.543,7.23
STX,CTRL,BEAR,NORMAL,2024-01-22T11:30:00,0.561,2.18,2.866
STX,CTRL,BEAR,NORMAL,2024-01-23T10:30:00,0.895,3.012,-0.351
STX,CTRL,BEAR,NORMAL,2024-01-24T09:30:00,0.017,2.992,-2.019
STX,CTRL,BEAR,NORMAL,2024-01-24T15:30:00,2.143,-0.539,-3.86
STX,CTRL,BEAR,NORMAL,2024-01-25T14:30:00,0.233,-2.934,-3.726
STX,CTRL,BEAR,NORMAL,2024-01-26T13:30:00,-2.868,-5.868,-3.981
STX,CTRL,BEAR,NORMAL,2024-01-29T12:30:00,-1.868,-2.984,-4.559
STX,CTRL,BEAR,NORMAL,2024-01-30T11:30:00,-1.359,-0.086,-0.988
STX,CTRL,BEAR,NORMAL,2024-01-31T10:30:00,-0.15,-0.983,-0.145
STX,CTRL,BEAR,NORMAL,2024-02-01T09:30:00,-0.45,-0.144,0.288
STX,TOP,BEAR,NORMAL,2024-02-01T14:30:00,1.167,-0.834,0.627
STX,CTRL,BEAR,NORMAL,2024-02-01T15:30:00,0.795,-0.668,1.002
STX,CTRL,BEAR,NORMAL,2024-02-28T09:30:00,2.057,8.748,10.519
STX,BOTTOM,BEAR,NORMAL,2024-02-28T12:30:00,2.349,9.177,5.456
STX,CTRL,BEAR,NORMAL,2024-02-28T15:30:00,1.517,7.401,2.724
STX,CTRL,BEAR,NORMAL,2024-02-29T14:30:00,4.341,4.948,0.334
STX,CTRL,BEAR,NORMAL,2024-03-01T13:30:00,2.651,-2.796,-3.59
STX,CTRL,BEAR,NORMAL,2024-03-04T12:30:00,-1.961,-6.42,-8.013
STX,CTRL,BEAR,NORMAL,2024-03-05T11:30:00,0.051,-4.342,-6.411
STX,CTRL,BEAR,NORMAL,2024-03-06T10:30:00,-9.338,-9.986,-12.095
STX,CTRL,BEAR,NORMAL,2024-03-07T09:30:00,1.247,0.26,-5.402
STX,CTRL,BEAR,NORMAL,2024-03-07T15:30:00,-1.183,-2.867,-8.571
STX,CTRL,BEAR,NORMAL,2024-03-08T14:30:00,-1.745,-4.487,-7.855
STX,CTRL,BEAR,NORMAL,2024-03-11T13:30:00,0.337,-5.131,-6.036
STX,CTRL,BEAR,NORMAL,2024-03-12T12:30:00,-2.325,-5.901,-4.903
STX,TOP,BEAR,NORMAL,2024-03-12T15:30:00,-2.733,-5.597,-4.96
STX,CTRL,BEAR,CAPITULATIVE,2024-04-26T10:30:00,-0.407,-1.419,1.425
STX,CTRL,BEAR,CAPITULATIVE,2024-04-29T09:30:00,-0.026,-1.276,4.471
STX,BOTTOM,BEAR,CAPITULATIVE,2024-04-29T10:30:00,0.14,0.088,5.023
STX,TOP,BEAR,CAPITULATIVE,2024-04-29T14:30:00,0.513,0.659,4.674
STX,CTRL,BEAR,CAPITULATIVE,2024-04-29T15:30:00,-0.186,0.256,4.381
STX,CTRL,BEAR,CAPITULATIVE,2024-04-30T14:30:00,0.951,1.707,3.769
STX,CTRL,BEAR,CAPITULATIVE,2024-05-01T13:30:00,-0.099,4.166,4.207
STX,CTRL,BEAR,CAPITULATIVE,2024-05-02T12:30:00,1.592,5.298,6.315
STX,CTRL,BEAR,NORMAL,2024-05-03T11:30:00,2.763,2.46,6.005
STX,CTRL,BEAR,NORMAL,2024-05-06T10:30:00,0.712,1.479,4.26
STX,CTRL,BEAR,NORMAL,2024-05-07T09:30:00,-0.791,3.099,6.243
STX,CTRL,BEAR,NORMAL,2024-05-07T15:30:00,0.57,5.038,7.44
STX,BOTTOM,BEAR,NORMAL,2024-05-08T14:30:00,1.468,3.292,9.775
STX,CTRL,BEAR,NORMAL,2024-05-09T13:30:00,2.629,4.983,8.193
STX,CTRL,BEAR,NORMAL,2024-05-10T12:30:00,0.582,6.16,2.983
STX,CTRL,BEAR,NORMAL,2024-05-13T11:30:00,1.572,5.427,2.793
STX,CTRL,BEAR,NORMAL,2024-05-14T10:30:00,2.538,0.476,-1.083
STX,CTRL,BEAR,NORMAL,2024-05-15T09:30:00,0.867,-2.046,-3.184
STX,CTRL,BEAR,NORMAL,2024-05-15T15:30:00,-0.491,-1.929,-4.117
STX,CTRL,BEAR,NORMAL,2024-05-16T14:30:00,-3.101,-4.921,-5.368
STX,CTRL,BEAR,NORMAL,2024-05-17T13:30:00,1.941,-0.759,-0.554
STX,CTRL,BEAR,NORMAL,2024-05-20T12:30:00,-2.471,-1.999,0.047
STX,CTRL,BEAR,NORMAL,2024-05-21T11:30:00,0.212,-0.573,0.477
STX,CTRL,BEAR,NORMAL,2024-05-22T10:30:00,0.475,1.625,-2.01
STX,TOP,BEAR,NORMAL,2024-05-22T14:30:00,-1.315,1.956,-1.145
STX,CTRL,BULL,NORMAL,2024-10-03T12:30:00,-1.423,0.07,0.259
STX,CTRL,BULL,NORMAL,2024-10-04T11:30:00,-0.585,1.484,2.29
STX,CTRL,BULL,NORMAL,2024-10-07T10:30:00,2.041,2.277,4.649
STX,CTRL,BULL,NORMAL,2024-10-08T09:30:00,-0.992,0.765,4.738
STX,CTRL,BULL,NORMAL,2024-10-08T15:30:00,0.557,1.026,2.885
STX,CTRL,BULL,NORMAL,2024-10-09T14:30:00,-0.898,1.813,2.335
STX,TOP,BULL,NORMAL,2024-10-10T13:30:00,1.091,3.402,4.067
STX,BOTTOM,BULL,NORMAL,2024-10-10T14:30:00,1.518,3.054,4.085
STX,CTRL,BULL,NORMAL,2024-10-11T12:30:00,1.771,2.56,3.055
STX,CTRL,BULL,NORMAL,2024-10-14T11:30:00,2.017,1.756,1.112
STX,CTRL,BULL,NORMAL,2024-10-15T10:30:00,-0.754,-0.169,-0.736
STX,CTRL,BULL,NORMAL,2024-10-16T09:30:00,0.783,0.3,-7.17
STX,CTRL,BULL,NORMAL,2024-10-16T15:30:00,0.644,0.644,-7.322
STX,CTRL,BULL,NORMAL,2024-10-17T14:30:00,-0.515,-0.084,-7.636
STX,CTRL,BULL,NORMAL,2024-10-18T13:30:00,0.071,-7.105,-7.742
STX,CTRL,BULL,NORMAL,2024-10-21T12:30:00,0.076,-6.766,-9.752
STX,TOP,BULL,NORMAL,2024-10-22T10:30:00,-6.154,-6.794,-10.253
STX,CTRL,BULL,NORMAL,2024-10-22T11:30:00,-7.269,-7.215,-10.111
STX,CTRL,BULL,NORMAL,2024-10-23T10:30:00,-0.186,-2.729,-4.115
STX,CTRL,BULL,NORMAL,2024-10-24T09:30:00,0.764,-2.851,-3.221
STX,CTRL,BULL,NORMAL,2024-10-24T15:30:00,-0.971,-2.51,-3.463
STX,CTRL,BULL,NORMAL,2024-10-25T14:30:00,-1.963,-4.075,-4.596
STX,CTRL,BULL,NORMAL,2024-10-28T13:30:00,-0.395,-0.859,-0.75
STX,CTRL,BULL,NORMAL,2024-10-29T12:30:00,-0.941,-1.352,0.238
