ticker,bottom_date,breakout_date,weeks_to_breakout,head_start_pct,bottom_fwd26w,breakout_fwd26w
FBRX,2025-05-26,2025-12-15,29.0,249.3,118.4,-39.9
FCEL,2025-11-17,2026-04-20,22.0,79.2,300.8,
FDMT,2023-07-17,2024-02-05,29.0,58.8,-5.5,-48.3
FDX,2025-09-08,2025-12-08,13.0,23.9,54.6,49.0
FHN,2020-06-15,2021-02-08,34.0,55.7,23.0,5.7
FIBK,2024-01-15,2024-07-15,26.0,10.8,10.8,7.8
FIGS,2024-09-09,2025-08-11,48.0,26.0,-15.8,47.9
FIVE,2025-01-06,2025-06-02,21.0,23.4,25.4,36.0
FLEX,2019-06-03,2019-10-21,20.0,22.0,20.4,-30.2
FLEX,2020-08-31,2020-10-12,6.0,32.3,57.6,31.4
FLG,2020-08-10,2021-02-15,27.0,17.8,10.3,9.8
FLG,2023-03-06,2023-04-24,7.0,45.0,66.2,-10.6
FLS,2022-05-23,2023-02-06,37.0,18.2,1.6,9.1
FMBH,2023-09-04,2023-12-11,14.0,27.2,14.6,-11.2
FNB,2020-06-15,2021-02-15,35.0,57.4,25.8,0.1
FND,2023-03-06,2024-02-19,50.0,35.0,8.0,-4.7
FORM,2023-03-13,2023-07-24,19.0,25.9,7.1,11.4
FRME,2023-11-27,2024-07-15,33.0,21.3,2.4,5.8
FSBC,2024-01-29,2024-07-15,24.0,23.2,17.8,8.4
FSLY,2025-01-20,2025-11-03,41.0,12.5,-30.4,77.4
FSM,2019-12-16,2020-05-25,23.0,33.6,26.2,39.9
FSM,2023-02-27,2023-11-27,39.0,17.4,-13.1,54.5
FTAI,2020-06-15,2020-11-16,22.0,78.1,103.9,48.4
FTAI,2025-05-12,2025-09-15,18.0,52.0,34.8,29.1
