ticker,group,hold_terminal,hold_maxdd,BRAKE_ratio,BRAKE_maxdd,BRAKE_pct_collared,COLLAR_ratio,COLLAR_maxdd,COLLAR_pct_collared
TMO,stock,0.916,-35.9,0.974,-29.9,0.0,0.926,-26.5,51.1
DHR,stock,0.954,-40.9,0.965,-36.2,0.0,0.892,-37.1,53.1
A,stock,2.102,-41.8,0.601,-55.2,0.0,0.557,-52.8,34.3
MEDP,stock,17.341,-41.2,0.405,-51.2,0.0,0.488,-45.0,18.9
VRTX,stock,2.678,-39.2,0.853,-29.3,0.0,0.711,-33.1,30.4
REGN,stock,1.725,-59.0,0.327,-63.1,0.0,0.71,-48.5,30.5
CRSP,stock,1.014,-83.7,0.473,-87.1,0.0,1.105,-71.4,49.2
NTLA,stock,0.75,-96.2,2.776,-84.7,0.0,5.39,-75.7,59.4
BEAM,stock,0.296,-88.3,2.134,-75.0,0.0,1.083,-84.5,65.8
ILMN,stock,0.589,-85.9,1.122,-75.3,0.0,1.077,-69.4,55.6
GH,stock,1.987,-91.0,3.22,-63.2,0.0,1.826,-75.8,47.9
NTRA,stock,22.082,-73.5,0.828,-74.9,0.0,1.125,-56.6,20.3
ABBV,stock,3.883,-27.5,0.698,-27.5,0.0,0.77,-27.5,8.1
JNJ,stock,2.194,-20.6,0.707,-34.5,0.0,0.735,-27.0,24.5
PLTR,stock,16.183,-43.7,1.138,-37.9,0.0,1.059,-37.9,9.5
TSLA,stock,19.223,-72.2,0.691,-58.9,0.0,0.688,-57.2,35.1
UBER,stock,2.226,-64.8,0.936,-30.6,0.0,1.247,-34.6,36.1
COIN,stock,2.661,-64.5,1.508,-53.3,0.0,0.393,-68.3,25.4
HOOD,stock,11.61,-55.6,0.489,-55.6,0.0,0.42,-52.8,18.7
SMH,etf,11.027,-44.2,0.394,-33.8,0.0,0.817,-32.9,15.7
IGV,etf,2.265,-45.4,1.043,-36.3,0.0,1.153,-28.2,21.5
AIQ,etf,2.954,-44.1,1.028,-31.6,0.0,1.204,-24.5,17.9
